Product Name,Category,Product Image File - 1,Product Image File - 2,Product Description,Cost Price
'i' Monogram Round Metal Pendant Necklace,JEWELRY;NECKLACE/METAL,images/20190323/PDN12860-I-G-155_2L-2L-432321-300-01.jpg,images/20190323/des_img/PDN12860-I-G-155_2L-2L-432321-300-01-1.jpg,"Style No : 432321 Color : Gold Theme : Monogram  Necklace Size : 15.5"" + 2"" L Decor Size : 2"" L Lead and Nickel Compliant 'I' Monogram Round Metal Pendant Necklace",3.00
'h' Monogram Round Metal Pendant Necklace,JEWELRY;NECKLACE/METAL,images/20190323/PDN12860-H-S-155_2L-2L-432319-300-01.jpg,images/20190323/des_img/PDN12860-H-S-155_2L-2L-432319-300-01-1.jpg,"Style No : 432319 Color : Silver Theme : Monogram  Necklace Size : 15.5"" + 2"" L Decor Size : 2"" L Lead and Nickel Compliant 'H' Monogram Round Metal Pendant Necklace",3.00
'h' Monogram Round Metal Pendant Necklace,JEWELRY;NECKLACE/METAL,images/20190323/PDN12860-H-G-155_2L-2L-432318-300-01.jpg,images/20190323/des_img/PDN12860-H-G-155_2L-2L-432318-300-01-1.jpg,"Style No : 432318 Color : Gold Theme : Monogram  Necklace Size : 15.5"" + 2"" L Decor Size : 2"" L Lead and Nickel Compliant 'H' Monogram Round Metal Pendant Necklace",3.00
'g' Monogram Round Metal Pendant Necklace,JEWELRY;NECKLACE/METAL,images/20190323/PDN12860-G-S-155_2L-2L-432317-300-01.jpg,images/20190323/des_img/PDN12860-G-S-155_2L-2L-432317-300-01-1.jpg,"Style No : 432317 Color : Silver Theme : Monogram  Necklace Size : 15.5"" + 2"" L Decor Size : 2"" L Lead and Nickel Compliant 'G' Monogram Round Metal Pendant Necklace",3.00
'g' Monogram Round Metal Pendant Necklace,JEWELRY;NECKLACE/METAL,images/20190323/PDN12860-G-G-155_2L-2L-432316-300-01.jpg,images/20190323/des_img/PDN12860-G-G-155_2L-2L-432316-300-01-1.jpg,"Style No : 432316 Color : Gold Theme : Monogram  Necklace Size : 15.5"" + 2"" L Decor Size : 2"" L Lead and Nickel Compliant 'G' Monogram Round Metal Pendant Necklace",3.00
'f' Monogram Round Metal Pendant Necklace,JEWELRY;NECKLACE/METAL,images/20190323/PDN12860-F-S-155_2L-2L-432315-300-01.jpg,images/20190323/des_img/PDN12860-F-S-155_2L-2L-432315-300-01-1.jpg,"Style No : 432315 Color : Silver Theme : Monogram  Necklace Size : 15.5"" + 2"" L Decor Size : 2"" L Lead and Nickel Compliant 'F' Monogram Round Metal Pendant Necklace",3.00
'g' Monogram Round Metal Pendant Necklace,JEWELRY;NECKLACE/METAL,images/20190323/PDN12860-F-G-155_2L-2L-432314-300-01.jpg,images/20190323/des_img/PDN12860-F-G-155_2L-2L-432314-300-01-1.jpg,"Style No : 432314 Color : Gold Theme : Monogram  Necklace Size : 15.5"" + 2"" L Decor Size : 2"" L Lead and Nickel Compliant 'G' Monogram Round Metal Pendant Necklace",3.00
'g' Monogram Round Metal Pendant Necklace,JEWELRY;NECKLACE/METAL,images/20190323/PDN12860-E-G-155_2L-2L-432312-300-01.jpg,images/20190323/des_img/PDN12860-E-G-155_2L-2L-432312-300-01-1.jpg,"Style No : 432312 Color : Gold Theme : Monogram  Necklace Size : 15.5"" + 2"" L Decor Size : 2"" L Lead and Nickel Compliant 'G' Monogram Round Metal Pendant Necklace",3.00
Striped Oval Pendant Necklace,JEWELRY;NECKLACE/FASHION,images/20190321/PDN0955-GD-15_3L-075X04-02-432102-250-01.jpg,images/20190321/des_img/PDN0955-GD-15_3L-075X04-02-432102-250-01-1.jpg,"Style No : 432102 Color : Gold, Multi  Necklace Size : 15"" + 6"" L Pendant Size : 0.75"" X 0.4"" Earring Size : 0.2"" L Lead and Nickel Compliant Striped Oval Pendant Necklace",2.50
Crystal Embellished Oval Pendant Necklace,JEWELRY;NECKLACE/FASHION,images/20181115/PDN0613-GD-BK-15_3L-075X04-01L-416296-250-01.jpg,images/20181115/des_img/PDN0613-GD-BK-15_3L-075X04-01L-416296-250-01-1.jpg,"Style No : 416296 Color : Black, Gold  Necklace Size : 15"" + 3.5"" L   Decor Size : 0.75"" x 0.4"" Earring Size : 0.1"" L Lead and Nickel Compliant Crystal Embellished Oval Pendant Necklace",2.50
